"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 18 17:14:46 MSK 2023","Mon Dec 18 17:14:46 MSK 2023","0","chromium","tests.spec.ts","Web QA - Test Task > Тест-кейс 5","","","Переход в корзину с 9 акционными товарами одного наименования.",""
"failed","Mon Dec 18 17:14:39 MSK 2023","Mon Dec 18 17:14:48 MSK 2023","9679","firefox","tests.spec.ts","Web QA - Test Task > Тест-кейс 1","","","Переход в пустую корзину",""
"skipped","Mon Dec 18 17:14:40 MSK 2023","Mon Dec 18 17:14:40 MSK 2023","1","webkit","tests.spec.ts","Web QA - Test Task > Тест-кейс 3","","","Переход в корзину с 1 акционным товаром.",""
"skipped","Mon Dec 18 17:14:48 MSK 2023","Mon Dec 18 17:14:48 MSK 2023","0","firefox","tests.spec.ts","Web QA - Test Task > Тест-кейс 5","","","Переход в корзину с 9 акционными товарами одного наименования.",""
"skipped","Mon Dec 18 17:14:46 MSK 2023","Mon Dec 18 17:14:46 MSK 2023","0","chromium","tests.spec.ts","Web QA - Test Task > Тест-кейс 2","","","Переход в корзину с 1 неакционным товаром.",""
"failed","Mon Dec 18 17:14:39 MSK 2023","Mon Dec 18 17:14:46 MSK 2023","6977","chromium","tests.spec.ts","Web QA - Test Task > Тест-кейс 1","","","Переход в пустую корзину",""
"skipped","Mon Dec 18 17:14:48 MSK 2023","Mon Dec 18 17:14:48 MSK 2023","1","firefox","tests.spec.ts","Web QA - Test Task > Тест-кейс 4","","","Переход в корзину с 9 разными товарами.",""
"skipped","Mon Dec 18 17:14:40 MSK 2023","Mon Dec 18 17:14:40 MSK 2023","0","webkit","tests.spec.ts","Web QA - Test Task > Тест-кейс 4","","","Переход в корзину с 9 разными товарами.",""
"failed","Mon Dec 18 17:14:39 MSK 2023","Mon Dec 18 17:14:40 MSK 2023","985","webkit","tests.spec.ts","Web QA - Test Task > Тест-кейс 1","","","Переход в пустую корзину",""
"skipped","Mon Dec 18 17:14:40 MSK 2023","Mon Dec 18 17:14:40 MSK 2023","0","webkit","tests.spec.ts","Web QA - Test Task > Тест-кейс 2","","","Переход в корзину с 1 неакционным товаром.",""
"skipped","Mon Dec 18 17:14:40 MSK 2023","Mon Dec 18 17:14:40 MSK 2023","0","webkit","tests.spec.ts","Web QA - Test Task > Тест-кейс 5","","","Переход в корзину с 9 акционными товарами одного наименования.",""
"skipped","Mon Dec 18 17:14:46 MSK 2023","Mon Dec 18 17:14:46 MSK 2023","0","chromium","tests.spec.ts","Web QA - Test Task > Тест-кейс 4","","","Переход в корзину с 9 разными товарами.",""
"skipped","Mon Dec 18 17:14:48 MSK 2023","Mon Dec 18 17:14:48 MSK 2023","0","firefox","tests.spec.ts","Web QA - Test Task > Тест-кейс 2","","","Переход в корзину с 1 неакционным товаром.",""
"skipped","Mon Dec 18 17:14:46 MSK 2023","Mon Dec 18 17:14:46 MSK 2023","0","chromium","tests.spec.ts","Web QA - Test Task > Тест-кейс 3","","","Переход в корзину с 1 акционным товаром.",""
"skipped","Mon Dec 18 17:14:48 MSK 2023","Mon Dec 18 17:14:48 MSK 2023","0","firefox","tests.spec.ts","Web QA - Test Task > Тест-кейс 3","","","Переход в корзину с 1 акционным товаром.",""
